param	n	pearson	p	sigma
yfbO	589	-0.3520	1.209e-16	9.1105
ybdO	589	-0.3519	1.244e-16	9.1071
gspC	589	-0.3514	1.377e-16	9.0948
yceO	589	-0.3506	1.700e-16	9.0695
aslB	589	-0.3497	2.104e-16	9.0437
dpiB	589	-0.3494	2.283e-16	9.0339
bcsF	589	-0.3494	2.255e-16	9.0353
grxA	589	-0.3493	2.348e-16	9.0305
arsB	589	-0.3489	2.556e-16	9.0202
yaiT	589	-0.3489	2.543e-16	9.0208
ygcP	589	-0.3489	2.535e-16	9.0212
shiA	589	-0.3488	2.594e-16	9.0184
argO	589	-0.3488	2.606e-16	9.0179
ypjF	589	-0.3487	2.713e-16	9.0130
aaeX	589	-0.3482	3.057e-16	8.9985
insK	589	-0.3477	3.406e-16	8.9854
yfjK	589	-0.3475	3.581e-16	8.9793
ybdG	589	-0.3470	4.096e-16	8.9629
ysaA	589	-0.3467	4.310e-16	8.9567
yfcQ	589	-0.3466	4.504e-16	8.9514
yhgA	589	-0.3464	4.632e-16	8.9479
yjhE	589	-0.3464	4.649e-16	8.9475
potE	589	-0.3463	4.844e-16	8.9425
yegW	589	-0.3457	5.532e-16	8.9263
yceQ	589	-0.3456	5.686e-16	8.9229
yqhH	589	-0.3454	5.911e-16	8.9182
ypjM_2	589	-0.3446	7.150e-16	8.8949
insJ	589	-0.3446	7.284e-16	8.8926
cas2	589	-0.3445	7.362e-16	8.8913
aroE	589	-0.3444	7.548e-16	8.8882
glnD	589	-0.3442	7.881e-16	8.8829
purT	589	-0.344	8.263e-16	8.8771
dkgB	589	-0.3439	8.553e-16	8.8729
ydjG	589	-0.3438	8.675e-16	8.8711
fimZ	589	-0.3436	9.091e-16	8.8654
fruB	589	-0.3433	9.912e-16	8.8548
yggC	589	-0.3431	1.041e-15	8.8488
ydiP	589	-0.3429	1.085e-15	8.8436
ydfA	589	-0.3429	1.093e-15	8.8427
yadD	589	-0.3428	1.113e-15	8.8405
yieH	589	-0.3427	1.123e-15	8.8394
elfG	589	-0.3418	1.395e-15	8.8126
yfbP	589	-0.3418	1.391e-15	8.8130
yjeJ	589	-0.3418	1.404e-15	8.8119
tynA	589	-0.3414	1.546e-15	8.8000
ssuA	589	-0.3413	1.568e-15	8.7982
yhhY	589	-0.3407	1.822e-15	8.7796
yhhZ	589	-0.3405	1.893e-15	8.7749
lysC	589	-0.34	2.141e-15	8.7596
yafS	589	-0.34	2.153e-15	8.7589
ybcW	589	-0.3398	2.258e-15	8.7530
mqsR	589	-0.3398	2.262e-15	8.7528
gfcC	589	-0.3396	2.365e-15	8.7472
intB	589	-0.3389	2.746e-15	8.7286
cdh	589	-0.3388	2.826e-15	8.7250
bglA	589	-0.3386	3.003e-15	8.7175
dgoA	589	-0.3386	2.944e-15	8.7200
atoE	589	-0.3382	3.255e-15	8.7074
ydeO	589	-0.3381	3.368e-15	8.7032
csgE	589	-0.3379	3.464e-15	8.6997
ulaR	589	-0.3377	3.630e-15	8.6938
yraK	589	-0.3376	3.738e-15	8.6901
alr	589	-0.3369	4.398e-15	8.6698
yhdJ	589	-0.3369	4.388e-15	8.6701
yicJ	589	-0.3367	4.586e-15	8.6646
yhcF	589	-0.3365	4.800e-15	8.6589
aaeB	589	-0.3363	5.056e-15	8.6523
yedZ	589	-0.3362	5.251e-15	8.6476
lipB	589	-0.3361	5.288e-15	8.6467
ybdF	589	-0.336	5.391e-15	8.6443
yqiG	589	-0.3359	5.591e-15	8.6397
ygeP	589	-0.3355	6.165e-15	8.6274
ymfA	589	-0.3353	6.435e-15	8.6220
xdhD	589	-0.3351	6.746e-15	8.6161
ygiL	589	-0.335	6.899e-15	8.6133
yigI	589	-0.3348	7.22e-15	8.6075
ycbF	589	-0.3346	7.49e-15	8.6029
hofP	589	-0.3344	7.874e-15	8.5966
yafC	589	-0.3343	8.045e-15	8.5939
yceG	589	-0.3343	8.068e-15	8.5935
argD	589	-0.3339	8.723e-15	8.5837
ygbK	589	-0.3339	8.864e-15	8.5817
djlB	589	-0.3337	9.205e-15	8.5769
ygeN	589	-0.3337	9.16e-15	8.5775
sfmD	589	-0.3335	9.679e-15	8.5705
ybgO	589	-0.3332	1.038e-14	8.5617
bglB	589	-0.3332	1.025e-14	8.5633
ylbH	589	-0.333	1.081e-14	8.5565
tktA	589	-0.3329	1.10e-14	8.5544
yafT	589	-0.3329	1.121e-14	8.5520
idnD	589	-0.3326	1.184e-14	8.5451
waaK	589	-0.3325	1.215e-14	8.5418
yghD	589	-0.3325	1.207e-14	8.5426
acrF	589	-0.332	1.346e-14	8.5287
sbcC	589	-0.3315	1.537e-14	8.5119
rsmI	589	-0.3313	1.595e-14	8.5072
yhhH	589	-0.331	1.712e-14	8.4981
yhfL	589	-0.3309	1.738e-14	8.4962
yhgN	589	-0.3307	1.841e-14	8.4889
rhsB	589	-0.3307	1.817e-14	8.4905
yodB	589	-0.3305	1.932e-14	8.4827
yigG	589	-0.3303	1.999e-14	8.4784
ibpB	589	-0.3302	2.029e-14	8.4765
cusA	589	-0.3298	2.223e-14	8.4648
ais	589	-0.3298	2.24e-14	8.4639
mobB	589	-0.329	2.701e-14	8.4399
ygbM	589	-0.3287	2.884e-14	8.4315
rzpD	589	-0.3283	3.146e-14	8.4203
ftsP	589	-0.3275	3.746e-14	8.3979
b1354	589	-0.3274	3.84e-14	8.3947
yedN_1	589	-0.3273	3.894e-14	8.3929
yfcP	589	-0.3273	3.905e-14	8.3925
yqgC	589	-0.3273	3.91e-14	8.3924
yhjB	589	-0.3269	4.276e-14	8.3809
yecT	589	-0.3268	4.37e-14	8.3780
ybfN	589	-0.3267	4.461e-14	8.3754
ydeR	589	-0.3267	4.441e-14	8.3760
yhcG	589	-0.3266	4.63e-14	8.3706
mltD	589	-0.3262	4.973e-14	8.3614
ligB	589	-0.326	5.217e-14	8.3552
rrrD	589	-0.3259	5.341e-14	8.3522
ylbG	589	-0.3255	5.794e-14	8.3416
ybcH	589	-0.3251	6.334e-14	8.3301
yfjS	589	-0.3249	6.661e-14	8.3235
ybeQ	589	-0.3248	6.797e-14	8.3209
tfaD	589	-0.3247	6.921e-14	8.3186
yfjY	589	-0.3246	7.162e-14	8.3141
yfiN	589	-0.3244	7.461e-14	8.3088
dgoK	589	-0.3241	8.024e-14	8.2994
yneE	589	-0.3236	8.825e-14	8.2870
trxC	589	-0.3235	9.114e-14	8.2828
fruK	589	-0.3233	9.442e-14	8.2782
feoB	589	-0.3233	9.561e-14	8.2766
wcaM	589	-0.3232	9.764e-14	8.2738
yidZ	589	-0.3229	1.034e-13	8.2663
dhaR	589	-0.3227	1.076e-13	8.2611
livK	589	-0.3227	1.075e-13	8.2612
yadL	589	-0.3226	1.112e-13	8.2569
yhcA	589	-0.3226	1.117e-13	8.2563
yegX	589	-0.3225	1.128e-13	8.2550
ygeO	589	-0.3224	1.15e-13	8.2525
relE	589	-0.3222	1.203e-13	8.2466
gspM	589	-0.3222	1.217e-13	8.2450
yjdF	589	-0.3221	1.24e-13	8.2426
yfjJ	589	-0.322	1.249e-13	8.2417
yqiH	589	-0.322	1.266e-13	8.2399
yaiY	589	-0.3218	1.31e-13	8.2355
cobC	589	-0.3217	1.343e-13	8.2321
yddK	589	-0.3217	1.346e-13	8.2319
yihO	589	-0.3216	1.385e-13	8.2281
yqeJ	589	-0.3214	1.435e-13	8.2235
yihN	589	-0.3213	1.478e-13	8.2196
hsrA	589	-0.3201	1.927e-13	8.1848
dxs	589	-0.3199	1.998e-13	8.1801
ygjP	589	-0.3199	1.972e-13	8.1818
yiiG	589	-0.3199	1.987e-13	8.1807
ybdN	589	-0.3197	2.092e-13	8.1740
yigA	589	-0.3193	2.283e-13	8.1625
entA	589	-0.3192	2.305e-13	8.1612
yqjH	589	-0.319	2.417e-13	8.1549
ygcG	589	-0.3189	2.488e-13	8.1511
hscC	589	-0.3184	2.783e-13	8.1363
ybgP	589	-0.3182	2.895e-13	8.1311
ygeQ	589	-0.3179	3.042e-13	8.1246
envR	589	-0.3176	3.261e-13	8.1153
yijO	589	-0.3174	3.379e-13	8.1106
ptrB	589	-0.3174	3.386e-13	8.1103
ydiL	589	-0.3173	3.473e-13	8.1070
yhfU	589	-0.3172	3.599e-13	8.1022
ycfZ	589	-0.317	3.756e-13	8.0966
bcsQ	589	-0.3169	3.78e-13	8.0957
yhhL	589	-0.3167	3.941e-13	8.0902
yfiR	589	-0.3166	4.007e-13	8.0880
rph	589	-0.3163	4.277e-13	8.0793
gor	589	-0.3162	4.392e-13	8.0758
murI	589	-0.3162	4.367e-13	8.0765
acrE	589	-0.3157	4.884e-13	8.0616
arpB_2	589	-0.3157	4.945e-13	8.0600
ybdJ	589	-0.3156	5.022e-13	8.0579
yegJ	589	-0.3155	5.167e-13	8.0541
thrA	589	-0.3153	5.285e-13	8.0511
casA	589	-0.3152	5.487e-13	8.0461
yihM	589	-0.3151	5.524e-13	8.0452
ppdA	589	-0.3148	5.964e-13	8.0350
yhiJ	589	-0.3144	6.443e-13	8.0246
ybeF	589	-0.3143	6.612e-13	8.0212
rcsA	589	-0.3143	6.622e-13	8.0210
ykgA	589	-0.3139	7.187e-13	8.0100
ampC	589	-0.3137	7.466e-13	8.0049
yiaV	589	-0.3131	8.435e-13	7.9885
dpiA	589	-0.3129	8.817e-13	7.9826
ygeW	589	-0.3128	8.998e-13	7.9798
ydjO	589	-0.3126	9.391e-13	7.9741
yhhS	589	-0.3126	9.376e-13	7.9743
sbmA	589	-0.3123	9.967e-13	7.9661
aaeA	589	-0.3121	1.047e-12	7.9595
gspB	589	-0.312	1.065e-12	7.9572
pphB	589	-0.3114	1.227e-12	7.9380
pinR	589	-0.3111	1.291e-12	7.9311
frc	589	-0.311	1.32e-12	7.9281
yfgO	589	-0.3109	1.34e-12	7.9261
ibpA	589	-0.3107	1.409e-12	7.9193
rfaZ	589	-0.3106	1.439e-12	7.9165
ydeQ	589	-0.3105	1.464e-12	7.9141
ygdB	589	-0.3105	1.478e-12	7.9129
yfjU	589	-0.3103	1.542e-12	7.9071
yi82_1	589	-0.31	1.616e-12	7.9008
barA	589	-0.3098	1.68e-12	7.8955
yidX	589	-0.3098	1.684e-12	7.8952
yiaJ	589	-0.3096	1.765e-12	7.8888
bglH	589	-0.3095	1.786e-12	7.8872
ispB	589	-0.3093	1.897e-12	7.8789
ygbI	589	-0.3092	1.916e-12	7.8776
yieK	589	-0.3091	1.952e-12	7.8751
cusR	589	-0.309	1.995e-12	7.8721
setC	589	-0.309	1.998e-12	7.8719
hcaE	589	-0.3088	2.076e-12	7.8667
lipA	589	-0.3084	2.256e-12	7.8554
yacG	589	-0.3084	2.245e-12	7.8561
yfgF	589	-0.3083	2.294e-12	7.8531
yiaK	589	-0.308	2.44e-12	7.8447
rna	589	-0.3077	2.61e-12	7.8355
ftsN	589	-0.3077	2.64e-12	7.8339
oxc	589	-0.3073	2.825e-12	7.8247
gyrB	589	-0.3073	2.827e-12	7.8246
yadC	589	-0.3071	2.954e-12	7.8185
dut	589	-0.3069	3.083e-12	7.8127
rayT	589	-0.3069	3.075e-12	7.8131
yneK	589	-0.3069	3.066e-12	7.8135
ycjS	589	-0.3068	3.171e-12	7.8088
yghR	589	-0.3066	3.287e-12	7.8039
citE	589	-0.3064	3.452e-12	7.7972
dipZ	589	-0.3063	3.506e-12	7.7950
ypdI	589	-0.3063	3.522e-12	7.7944
ymgD	589	-0.306	3.72e-12	7.7869
hofO	589	-0.3059	3.82e-12	7.7833
yihG	589	-0.3059	3.808e-12	7.7837
yjgL	589	-0.3052	4.358e-12	7.7652
entF	589	-0.3051	4.464e-12	7.7619
ybdM	589	-0.3051	4.494e-12	7.7609
higB	589	-0.3051	4.417e-12	7.7633
fruA	589	-0.305	4.537e-12	7.7596
intG	589	-0.3048	4.765e-12	7.7528
ulaG	589	-0.3047	4.808e-12	7.7516
yfjW	589	-0.3045	5.005e-12	7.7461
b1367	589	-0.3043	5.243e-12	7.7396
ygdQ	589	-0.304	5.61e-12	7.7303
dosP	589	-0.3038	5.818e-12	7.7253
yqeI	589	-0.3037	5.964e-12	7.7219
ilvD	589	-0.3036	5.997e-12	7.7211
yghS	589	-0.3035	6.196e-12	7.7166
recQ	589	-0.3031	6.746e-12	7.7048
fepC	589	-0.303	6.835e-12	7.7029
yqgF	589	-0.303	6.786e-12	7.7039
yidI	589	-0.3029	7.004e-12	7.6996
rhaT	589	-0.3025	7.557e-12	7.6890
yibL	589	-0.3023	7.888e-12	7.6831
sieB	589	-0.3021	8.167e-12	7.6782
nfrB	589	-0.3019	8.438e-12	7.6737
avtA	589	-0.3015	9.295e-12	7.6602
pinH	589	-0.3011	9.98e-12	7.6503
exuR	589	-0.3009	1.035e-11	7.6452
cbrC	589	-0.3006	1.095e-11	7.6373
yifB	589	-0.3003	1.173e-11	7.6278
nanM	589	-0.3003	1.163e-11	7.6289
cusC	589	-0.3002	1.201e-11	7.6245
iraM	589	-0.3002	1.208e-11	7.6236
tus	589	-0.3002	1.188e-11	7.6259
yrhA	589	-0.2999	1.278e-11	7.6158
ydiF	589	-0.2998	1.298e-11	7.6136
yegT	589	-0.2997	1.331e-11	7.6101
yadM	589	-0.2996	1.351e-11	7.6079
yggM	589	-0.2995	1.365e-11	7.6065
arnF	589	-0.2992	1.472e-11	7.5959
yehR	589	-0.2988	1.572e-11	7.5867
zupT	589	-0.2986	1.661e-11	7.5790
rhaB	589	-0.2985	1.674e-11	7.5778
ybhI	589	-0.2985	1.662e-11	7.5788
atoS	589	-0.2985	1.688e-11	7.5766
mqsA	589	-0.2982	1.787e-11	7.5686
yadK	589	-0.2982	1.763e-11	7.5705
tqsA	589	-0.2982	1.765e-11	7.5703
ybeR	589	-0.2981	1.813e-11	7.5666
modF	589	-0.2979	1.895e-11	7.5604
entB	589	-0.2978	1.929e-11	7.5578
mdtG	589	-0.2977	1.946e-11	7.5566
ydfI	589	-0.2977	1.973e-11	7.5546
gntK	589	-0.2974	2.102e-11	7.5457
yfjP	589	-0.2974	2.069e-11	7.5480
tfaX	589	-0.2973	2.122e-11	7.5444
lacA	589	-0.2972	2.156e-11	7.5421
fes	589	-0.2971	2.23e-11	7.5374
yjgW	589	-0.2971	2.229e-11	7.5375
yfcU	589	-0.2969	2.288e-11	7.5338
ydiN	589	-0.2968	2.34e-11	7.5306
b1903	589	-0.2968	2.365e-11	7.5290
ybcV	589	-0.2967	2.411e-11	7.5263
ygbE	589	-0.2966	2.42e-11	7.5258
nikR	589	-0.2963	2.604e-11	7.5154
borD	589	-0.2963	2.574e-11	7.5171
ascG	589	-0.2961	2.688e-11	7.5110
yeeO	589	-0.296	2.731e-11	7.5087
yjeO	589	-0.296	2.72e-11	7.5093
hisQ	589	-0.2958	2.869e-11	7.5017
waaI	589	-0.2958	2.858e-11	7.5022
ygjQ	589	-0.2958	2.861e-11	7.5021
gcl	589	-0.2956	2.975e-11	7.4965
yfhH	589	-0.2955	3.04e-11	7.4935
ygeH	589	-0.2955	3.019e-11	7.4945
ycaK	589	-0.2954	3.091e-11	7.4911
ycgG	589	-0.2949	3.39e-11	7.4780
yhfY	589	-0.2949	3.41e-11	7.4771
yhfW	589	-0.2948	3.456e-11	7.4752
ompN	589	-0.2944	3.727e-11	7.4645
gudX	589	-0.2942	3.896e-11	7.4581
polA	589	-0.2941	3.983e-11	7.4550
rfe	589	-0.2939	4.142e-11	7.4494
ompL	589	-0.2937	4.259e-11	7.4454
yadE	589	-0.2937	4.321e-11	7.4433
yhdX	589	-0.2936	4.409e-11	7.4405
ppc	589	-0.2935	4.443e-11	7.4394
ychE_1	589	-0.2934	4.552e-11	7.4359
perR	589	-0.2933	4.63e-11	7.4335
yzfA	589	-0.2928	5.072e-11	7.4204
ygeI	589	-0.2923	5.602e-11	7.4061
yjaZ	589	-0.2923	5.642e-11	7.4051
ybeU	589	-0.2921	5.915e-11	7.3984
gltJ	589	-0.292	5.973e-11	7.3969
ansP	589	-0.2918	6.213e-11	7.3913
ygeM	589	-0.2917	6.293e-11	7.3894
csgA	589	-0.2914	6.68e-11	7.3809
yjcF	589	-0.2914	6.709e-11	7.3802
ybdR	589	-0.2912	6.901e-11	7.3762
ykiB	589	-0.291	7.258e-11	7.3689
panF	589	-0.2909	7.408e-11	7.3659
allB	589	-0.2908	7.539e-11	7.3634
safA	589	-0.2908	7.494e-11	7.3643
ydfD	589	-0.2908	7.522e-11	7.3637
b3007	589	-0.2908	7.592e-11	7.3624
yciW	589	-0.2905	7.989e-11	7.3550
ybhM	589	-0.2902	8.391e-11	7.3479
yibG	589	-0.2901	8.609e-11	7.3442
dcuC	589	-0.29	8.837e-11	7.3404
yfaS_2	589	-0.2897	9.334e-11	7.3325
sgcR	589	-0.2891	1.044e-10	7.3163
yeeJ	589	-0.2889	1.076e-10	7.3120
yjgN	589	-0.2889	1.081e-10	7.3112
kdgT	589	-0.2888	1.099e-10	7.3088
mrdA	589	-0.2887	1.118e-10	7.3063
corA	589	-0.2887	1.112e-10	7.3071
smf_1	589	-0.2887	1.13e-10	7.3048
dsbG	589	-0.2886	1.138e-10	7.3038
queG	589	-0.2883	1.20e-10	7.2960
yfcD	589	-0.2882	1.228e-10	7.2926
yhiI	589	-0.2882	1.234e-10	7.2920
arnC	589	-0.2879	1.319e-10	7.2823
mdtH	589	-0.2878	1.329e-10	7.2812
yihT	589	-0.2873	1.47e-10	7.2665
ydiB	589	-0.2872	1.478e-10	7.2657
intD	589	-0.2871	1.519e-10	7.2617
yjhF	589	-0.2871	1.52e-10	7.2616
aceB	589	-0.2869	1.58e-10	7.2560
eptA	589	-0.2865	1.688e-10	7.2463
yhiS_1	589	-0.2863	1.782e-10	7.2383
asnC	589	-0.2862	1.795e-10	7.2373
nudC	589	-0.2861	1.821e-10	7.2351
rnk	589	-0.2861	1.83e-10	7.2344
ybcK	589	-0.286	1.867e-10	7.2315
clpB	589	-0.2859	1.893e-10	7.2295
yigM	589	-0.2854	2.108e-10	7.2137
ecpA	589	-0.2849	2.288e-10	7.2016
frvX	589	-0.2849	2.278e-10	7.2022
yjjB	589	-0.2847	2.397e-10	7.1948
yafE	589	-0.2846	2.448e-10	7.1917
clcB	589	-0.2845	2.453e-10	7.1914
dinD	589	-0.2845	2.459e-10	7.1910
frlA	589	-0.2844	2.542e-10	7.1861
yefM	589	-0.2842	2.61e-10	7.1822
yqiI	589	-0.2842	2.603e-10	7.1826
rutB	589	-0.2839	2.76e-10	7.1739
yraQ	589	-0.2839	2.76e-10	7.1740
higA	589	-0.2838	2.806e-10	7.1715
insA_1	589	-0.2834	3.052e-10	7.1591
intQ	589	-0.2833	3.084e-10	7.1575
yieL	589	-0.2833	3.073e-10	7.1581
yadN	589	-0.283	3.288e-10	7.1481
gadW	589	-0.2828	3.388e-10	7.1436
rlmJ	589	-0.2827	3.464e-10	7.1403
entC	589	-0.2823	3.721e-10	7.1297
rsmF	589	-0.2823	3.717e-10	7.1299
yqhA	589	-0.2822	3.816e-10	7.1260
b2084	589	-0.2821	3.888e-10	7.1232
yfaA	589	-0.282	3.901e-10	7.1227
yjaA	589	-0.282	3.916e-10	7.1221
mdtB	589	-0.2816	4.202e-10	7.1116
yehI	589	-0.2813	4.448e-10	7.1032
pagP	589	-0.2811	4.624e-10	7.0974
xseA	589	-0.2807	4.986e-10	7.0861
yqiJ	589	-0.2806	5.086e-10	7.0832
rlmI	589	-0.2804	5.292e-10	7.0772
ygeK	589	-0.2802	5.438e-10	7.0732
ygaY	589	-0.2802	5.513e-10	7.0711
argK	589	-0.2802	5.44e-10	7.0731
arnD	589	-0.2799	5.831e-10	7.0627
fsaB	589	-0.2793	6.483e-10	7.0468
csdA	589	-0.2791	6.694e-10	7.0420
tdcR	589	-0.279	6.868e-10	7.0382
yedN_2	589	-0.279	6.862e-10	7.0383
yghF	589	-0.2784	7.55e-10	7.0239
zapD	589	-0.2783	7.731e-10	7.0204
rcbA	589	-0.2781	7.992e-10	7.0154
hyfJ	589	-0.2779	8.337e-10	7.0090
frmB	589	-0.2778	8.461e-10	7.0068
trmA	589	-0.2778	8.502e-10	7.0060
yjhI	589	-0.2776	8.779e-10	7.0012
yafU	589	-0.2776	8.735e-10	7.0020
ybjI	589	-0.2776	8.769e-10	7.0014
cmtB	589	-0.2775	9.01e-10	6.9973
yadS	589	-0.2774	9.125e-10	6.9954
yfdI	589	-0.2774	9.123e-10	6.9954
ygcW	589	-0.2774	9.105e-10	6.9957
caiC	589	-0.2768	1.014e-09	6.9794
dld	589	-0.2768	1.019e-09	6.9787
yghG	589	-0.2766	1.049e-09	6.9743
sgbU	589	-0.2766	1.058e-09	6.9730
ompT	589	-0.2763	1.118e-09	6.9645
gspG	589	-0.2763	1.11e-09	6.9657
yfdP	589	-0.2761	1.15e-09	6.9603
glvB	589	-0.276	1.164e-09	6.9584
ydfB	589	-0.2759	1.205e-09	6.9533
nadD	589	-0.2758	1.22e-09	6.9514
leuS	589	-0.2758	1.223e-09	6.9510
yjjQ	589	-0.2755	1.273e-09	6.9449
fucA	589	-0.2754	1.313e-09	6.9402
malI	589	-0.2753	1.326e-09	6.9387
yhaC	589	-0.2752	1.363e-09	6.9344
rpoD	589	-0.2751	1.373e-09	6.9334
yhdW	589	-0.2751	1.376e-09	6.9330
cusS	589	-0.275	1.404e-09	6.9300
